algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.7873602337250101,0.00185076376796045
ConTree,target,0.838218170931985,0.01208464131300075
ODT,onehot,0.8276125410370214,0.0062884881710786504
ODT,target,0.8353210079327134,0.005117873196844925
OSDT,onehot,0.7607182362198229,3.815022657841085e-05
OSDT,target,0.7607182362198229,3.815022657841085e-05
RDT,onehot,0.8503439505819483,0.00335261849064635
RDT,target,0.8502927300200562,0.003530150886329875
RDT-TwoPass,onehot,0.8483271919799455,0.0039762928066806
RDT-TwoPass,target,0.8498473569303491,0.004523466085453325
sklearn-DT,onehot,0.8525807422969364,0.003334712254535875
sklearn-DT,target,0.8535635328001486,0.003000557524308225
