algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,0.345
RDT-TwoPass,3,onehot,3,3.0,8,0.22999999999999998
sklearn-DT,3,onehot,7,4.0,8,0.3042063492063492
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,0.21547619047619046
RDT-TwoPass,5,onehot,5,5.0,32,0.3171825396825397
sklearn-DT,5,onehot,13,5.576449912126538,15,0.32511606041017804
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,7,7.0,128,0.2567460317460317
RDT-TwoPass,7,onehot,6,7.0,128,0.24536796536796537
sklearn-DT,7,onehot,14,6.203866432337434,20,0.31901106934001666
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,7,9.0,512,0.23406926406926404
RDT-TwoPass,9,onehot,6,9.0,512,0.24536796536796537
sklearn-DT,9,onehot,13,6.21792618629174,22,0.3452154282765738
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,0.345
RDT-TwoPass,3,target,3,3.0,8,0.22999999999999998
sklearn-DT,3,target,5,4.0,8,0.21523809523809523
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,0.21547619047619046
RDT-TwoPass,5,target,5,5.0,32,0.3171825396825397
sklearn-DT,5,target,8,5.258347978910369,14,0.32352647352647357
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,7,7.0,128,0.2567460317460317
RDT-TwoPass,7,target,6,7.0,128,0.24536796536796537
sklearn-DT,7,target,4,3.110720562390158,6,0.3286904761904762
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,7,9.0,512,0.23406926406926404
RDT-TwoPass,9,target,6,9.0,512,0.24536796536796537
sklearn-DT,9,target,9,5.293497363796134,15,0.34886446886446887
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
