algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.6858343731736027,0.0009622988614181,353.1785333633423
ConTree,3,target,0.6858343731736027,0.0009622988614181,351.38073992729187
ConTree,5,onehot,0.6526354018026179,0.0004421894724204,342.36387767791746
ConTree,5,target,0.6526354018026179,0.0004421894724204,338.58816566467283
ConTree,7,onehot,0.6503893256996094,0.0014135358876383,319.1994394302368
ConTree,7,target,0.6498833090091989,0.0010314193334413,322.6856451511383
ConTree,9,onehot,0.6474978148160335,0.0004009487500646,307.49421591758727
ConTree,9,target,0.6476303426554856,0.0004745716379736,307.4726538181305
ODT,3,onehot,0.6706935505599702,0.0008148701150487,202.91488833427428
ODT,3,target,0.6706935505599702,0.0008148701150487,202.63273406028748
ODT,5,onehot,0.6718949027309246,0.0008324094748475,218.2821260929108
ODT,5,target,0.6718949027309246,0.0008324094748475,207.99944806098935
ODT,7,onehot,0.6737485634331392,0.0005646161365975,205.64332518577572
ODT,7,target,0.6737485634331392,0.0005646161365975,208.0571674823761
ODT,9,onehot,0.6751289145258106,0.0008626093840308,203.4566625118256
ODT,9,target,0.6751289145258106,0.0008626093840308,241.5193346977234
RDT,3,onehot,0.6733406560028274,0.0006485496828451,292.4827108860016
RDT,3,target,0.6733406560028274,0.0006485496828451,281.5502435207367
RDT,5,onehot,0.6846450707654331,0.0012366515125757,284.09660778045657
RDT,5,target,0.6846450707654331,0.0012366515125757,285.63854732513425
RDT,7,onehot,0.6895657931704768,0.000647105586471,280.7809519767761
RDT,7,target,0.6895657931704768,0.000647105586471,287.10361375808714
RDT,9,onehot,0.6981628608598788,0.0007141233665884,302.3387279510498
RDT,9,target,0.6981628608598788,0.0007141233665884,295.3105875968933
RDT-TwoPass,3,onehot,0.6712219372963035,0.0008485093267923,415.7176211833954
RDT-TwoPass,3,target,0.6712219372963035,0.0008485093267923,431.30017547607423
RDT-TwoPass,5,onehot,0.6833765946523922,0.0013554021231384,567.475091791153
RDT-TwoPass,5,target,0.6833765946523922,0.0013554021231384,550.1706182479859
RDT-TwoPass,7,onehot,0.7072452909283433,0.003216794100069,622.7347069740296
RDT-TwoPass,7,target,0.7072452909283433,0.003216794100069,712.3790654659272
RDT-TwoPass,9,onehot,0.7309780289176868,0.0032553491845356,832.8279561042785
RDT-TwoPass,9,target,0.7309780289176868,0.0032553491845356,822.4876685142517
sklearn-DT,3,onehot,0.6772837753667345,0.0008266288887428,174.14859256744384
sklearn-DT,3,target,0.6772837753667345,0.0008266288887428,108.379616689682
sklearn-DT,5,onehot,0.7024123438440573,0.0009635225015496,272.842396736145
sklearn-DT,5,target,0.7024123438440573,0.0009635225015496,164.46085228919983
sklearn-DT,7,onehot,0.7286303897644992,0.0013520506378639,351.55433373451234
sklearn-DT,7,target,0.7286286686237272,0.0013529564013319,210.900421667099
sklearn-DT,9,onehot,0.7617450297403471,0.002077086565049,252.17762789726257
sklearn-DT,9,target,0.7617329817993768,0.0020996822565343,234.7098274230957
